EA2
Population Size	Generations	Mutation Rate	Crossover Rate	Breading Population Size	Tournament Size	Elite Size
20	5000	0.0125	0.95	5	2	1
Current Generation	Average Fitness	Best Fitness	Mutation Rate
4700	-15710.15	-8822	0.1
4800	-18217.55	-8822	0.1
4900	-17011.3	-8822	0.1
Total Time: 40.227980852127075
Best Route: 22 1 49 32 36 35 34 39 40 37 38 48 24 5 15 6 4 25 46 44 16 50 20 23 31 18 3 19 45 41 8 9 10 43 33 51 12 28 27 26 47 13 14 52 11 29 30 21 17 2 7 42 
Fitness=-8822

EA2
Population Size	Generations	Mutation Rate	Crossover Rate	Breading Population Size	Tournament Size	Elite Size
20	5000	0.1	0.95	5	2	1
Current Generation	Average Fitness	Best Fitness	Mutation Rate
0	-28482.3	-8980	0.1
100	-18484.5	-8975	0.1
200	-16439.9	-8975	0.1
300	-18911.0	-8975	0.1
400	-17288.5	-8975	0.1
500	-17339.8	-8975	0.1
600	-21186.45	-8975	0.1
700	-20835.35	-8975	0.1
800	-19280.2	-8975	0.1
900	-24072.9	-8975	0.1
1000	-18888.6	-8975	0.1
1100	-24802.65	-8975	0.1
1200	-18416.75	-8941	0.1
1300	-21873.85	-8941	0.1
1400	-16546.9	-8941	0.1
1500	-16053.0	-8920	0.1
1600	-21512.9	-8881	0.1
1700	-18096.85	-8881	0.1
1800	-19256.35	-8881	0.1
1900	-17403.5	-8881	0.1
2000	-17070.15	-8881	0.1
2100	-17949.25	-8881	0.1
2200	-20063.5	-8834	0.1
2300	-16256.25	-8834	0.1
2400	-17170.35	-8834	0.1
2500	-25885.85	-8829	0.1
2600	-22226.85	-8829	0.1
2700	-21805.3	-8829	0.1
2800	-16288.05	-8829	0.1
2900	-16621.95	-8829	0.1
3000	-18806.15	-8829	0.1
3100	-18644.05	-8829	0.1
3200	-18492.45	-8829	0.1
3300	-22080.95	-8829	0.1
3400	-20461.3	-8829	0.1
3500	-21912.45	-8829	0.1
3600	-25140.0	-8829	0.1
3700	-17551.8	-8829	0.1
3800	-18786.9	-8815	0.1
3900	-17713.35	-8815	0.1
4000	-18863.25	-8815	0.1
4100	-22945.75	-8815	0.1
4200	-20153.4	-8815	0.1
4300	-21107.35	-8815	0.1
4400	-18208.8	-8815	0.1
4500	-17503.65	-8815	0.1
4600	-19219.3	-8815	0.1
4700	-19573.95	-8815	0.1
4800	-17936.9	-8815	0.1
4900	-19164.4	-8815	0.1
Total Time: 40.20690178871155
Best Route: 2 22 1 49 32 36 35 34 39 40 37 38 48 24 5 6 15 4 25 46 44 16 50 20 23 31 18 3 45 19 41 8 9 10 43 33 51 12 28 27 26 47 13 14 52 11 29 30 21 17 42 7 
Fitness=-8815

EA2
Population Size	Generations	Mutation Rate	Crossover Rate	Breading Population Size	Tournament Size	Elite Size
20	5000	0.1	0.95	5	2	1
Current Generation	Average Fitness	Best Fitness	Mutation Rate
0	-28550.6	-8980	0.1
100	-18226.6	-8980	0.1
200	-20807.55	-8980	0.1
300	-19934.65	-8980	0.1
400	-17880.9	-8980	0.1
500	-24690.15	-8908	0.1
600	-18604.0	-8908	0.1
700	-18899.85	-8908	0.1
800	-16042.65	-8908	0.1
900	-19618.55	-8908	0.1
1000	-22777.5	-8908	0.1
1100	-17249.6	-8908	0.1
1200	-18627.75	-8908	0.1
1300	-19385.4	-8908	0.1
1400	-17095.4	-8908	0.1
1500	-17520.7	-8908	0.1
1600	-18166.8	-8908	0.1
1700	-19314.0	-8870	0.1
1800	-23317.3	-8870	0.1
1900	-20005.85	-8870	0.1
2000	-15993.4	-8870	0.1
2100	-19166.75	-8870	0.1
2200	-17869.15	-8870	0.1
2300	-18060.75	-8870	0.1
2400	-17276.3	-8870	0.1
2500	-16911.55	-8870	0.1
2600	-19864.0	-8870	0.1
2700	-19343.95	-8870	0.1
2800	-22788.45	-8870	0.1
2900	-15777.05	-8870	0.1
3000	-15099.85	-8870	0.1
3100	-18353.0	-8864	0.1
3200	-17996.45	-8864	0.1
3300	-19170.15	-8864	0.1
3400	-17954.8	-8864	0.1
3500	-23224.25	-8864	0.1
3600	-20093.4	-8864	0.1
3700	-19809.8	-8864	0.1
3800	-18235.2	-8864	0.1
3900	-22510.65	-8864	0.1
4000	-17005.1	-8864	0.1
4100	-20637.2	-8864	0.1
4200	-20201.5	-8864	0.1
4300	-16045.85	-8864	0.1
4400	-17120.25	-8864	0.1
4500	-19447.15	-8864	0.1
4600	-17275.15	-8864	0.1
4700	-16814.65	-8863	0.1
4800	-17731.3	-8863	0.1
4900	-21442.75	-8863	0.1
Total Time: 39.995774030685425
Best Route: 9 10 43 33 51 12 28 27 26 47 13 14 52 11 29 30 21 17 42 7 2 22 1 32 49 36 35 34 40 38 39 37 48 24 15 5 6 4 25 46 44 16 50 20 23 31 18 3 45 19 41 8 
Fitness=-8863

EA2
Population Size	Generations	Mutation Rate	Crossover Rate	Breading Population Size	Tournament Size	Elite Size
20	5000	0.1	0.95	5	2	1
Current Generation	Average Fitness	Best Fitness	Mutation Rate
0	-28631.45	-8980	0.1
100	-17674.3	-8980	0.1
200	-19783.8	-8980	0.1
300	-25286.55	-8980	0.1
400	-16359.6	-8980	0.1
500	-18398.6	-8980	0.1
600	-17929.7	-8943	0.1
700	-20217.85	-8943	0.1
800	-15211.05	-8943	0.1
900	-17380.15	-8923	0.1
1000	-20835.8	-8923	0.1
1100	-18549.95	-8923	0.1
1200	-17523.75	-8923	0.1
1300	-17446.35	-8923	0.1
1400	-19897.0	-8845	0.1
1500	-19872.95	-8845	0.1
1600	-18210.25	-8639	0.1
1700	-19264.2	-8639	0.1
1800	-15756.6	-8639	0.1
1900	-16819.0	-8639	0.1
2000	-17004.7	-8639	0.1
2100	-19957.95	-8639	0.1
2200	-20178.85	-8639	0.1
2300	-18312.1	-8639	0.1
2400	-19601.95	-8639	0.1
2500	-22778.6	-8639	0.1
2600	-21306.95	-8639	0.1
2700	-18866.15	-8639	0.1
2800	-17560.8	-8639	0.1
2900	-22655.3	-8639	0.1
3000	-19844.75	-8638	0.1
3100	-21923.75	-8638	0.1
3200	-17826.05	-8638	0.1
3300	-14045.3	-8638	0.1
3400	-16857.9	-8638	0.1
3500	-17768.8	-8638	0.1
3600	-19030.25	-8638	0.1
3700	-22156.65	-8638	0.1
3800	-16225.95	-8638	0.1
3900	-20183.9	-8638	0.1
4000	-18162.45	-8638	0.1
4100	-18970.3	-8638	0.1
4200	-18524.1	-8638	0.1
4300	-16138.85	-8638	0.1
4400	-21191.0	-8638	0.1
4500	-20302.75	-8638	0.1
4600	-15819.9	-8638	0.1
4700	-20985.95	-8638	0.1
4800	-15085.3	-8638	0.1
4900	-17736.35	-8638	0.1
Total Time: 40.20649600028992
Best Route: 22 1 32 49 36 35 34 39 40 38 37 48 24 15 5 6 4 25 46 44 16 50 20 23 31 18 3 45 19 41 8 9 10 43 33 51 12 28 27 26 47 13 14 52 11 29 30 21 42 2 7 17 
Fitness=-8638

EA2
Population Size	Generations	Mutation Rate	Crossover Rate	Breading Population Size	Tournament Size	Elite Size
20	5000	0.1	0.95	5	2	1
Current Generation	Average Fitness	Best Fitness	Mutation Rate
0	-28719.4	-8980	0.1
100	-18293.35	-8980	0.1
200	-14971.8	-8820	0.1
300	-17489.1	-8820	0.1
400	-21289.6	-8820	0.1
500	-20377.4	-8820	0.1
600	-16457.1	-8715	0.1
700	-19510.8	-8715	0.1
800	-17610.05	-8715	0.1
900	-21239.55	-8675	0.1
1000	-18837.3	-8656	0.1
1100	-18744.85	-8656	0.1
1200	-18074.65	-8656	0.1
1300	-19885.8	-8656	0.1
1400	-18496.0	-8656	0.1
1500	-17868.2	-8656	0.1
1600	-16879.7	-8656	0.1
1700	-21571.3	-8656	0.1
1800	-20769.85	-8656	0.1
1900	-20340.9	-8656	0.1
2000	-19459.9	-8656	0.1
2100	-17570.15	-8656	0.1
2200	-19801.95	-8656	0.1
2300	-19500.3	-8626	0.1
2400	-18113.55	-8626	0.1
2500	-19730.2	-8626	0.1
2600	-21350.85	-8626	0.1
2700	-18650.45	-8626	0.1
2800	-17411.9	-8626	0.1
2900	-19032.9	-8626	0.1
3000	-23454.15	-8626	0.1
3100	-16940.7	-8626	0.1
3200	-19004.75	-8626	0.1
3300	-21585.6	-8626	0.1
3400	-21196.75	-8626	0.1
3500	-21202.45	-8626	0.1
3600	-16678.3	-8626	0.1
3700	-19543.85	-8626	0.1
3800	-14339.8	-8626	0.1
3900	-17926.55	-8626	0.1
4000	-17028.2	-8626	0.1
4100	-17422.1	-8626	0.1
4200	-21254.5	-8626	0.1
4300	-22401.4	-8626	0.1
4400	-19004.35	-8626	0.1
4500	-21134.1	-8626	0.1
4600	-16315.3	-8626	0.1
4700	-17014.3	-8532	0.1
4800	-16539.25	-8532	0.1
4900	-16249.2	-8532	0.1
Total Time: 39.875319719314575
Best Route: 22 1 32 49 36 34 35 39 40 37 38 48 24 5 15 6 4 25 46 44 16 50 20 23 31 18 3 45 19 41 8 9 10 43 33 51 12 28 27 26 47 14 13 52 11 29 30 42 2 7 17 21 
Fitness=-8532

EA2
Population Size	Generations	Mutation Rate	Crossover Rate	Breading Population Size	Tournament Size	Elite Size
20	5000	0.1	0.95	5	2	1
Current Generation	Average Fitness	Best Fitness	Mutation Rate
0	-29137.05	-8980	0.1
100	-23295.6	-8980	0.1
200	-22045.95	-8980	0.1
300	-16494.75	-8979	0.1
400	-15840.75	-8979	0.1
500	-18202.4	-8979	0.1
600	-21956.75	-8979	0.1
700	-19240.65	-8979	0.1
800	-20158.55	-8979	0.1
900	-15472.95	-8979	0.1
1000	-20661.95	-8917	0.1
1100	-20965.5	-8917	0.1
1200	-22038.5	-8917	0.1
1300	-17235.5	-8917	0.1
1400	-17582.0	-8917	0.1
1500	-16918.05	-8917	0.1
1600	-23013.9	-8917	0.1
1700	-20790.9	-8917	0.1
1800	-19656.5	-8917	0.1
1900	-23570.8	-8917	0.1
2000	-19766.25	-8857	0.1
2100	-20872.3	-8857	0.1
2200	-18936.45	-8857	0.1
2300	-17519.3	-8857	0.1
2400	-19415.65	-8857	0.1
2500	-23309.6	-8857	0.1
2600	-18978.4	-8857	0.1
2700	-16889.35	-8857	0.1
2800	-16047.55	-8857	0.1
2900	-19039.35	-8857	0.1
3000	-16910.35	-8845	0.1
3100	-17916.15	-8845	0.1
3200	-20313.8	-8828	0.1
3300	-19442.9	-8828	0.1
3400	-18750.5	-8828	0.1
3500	-20628.85	-8828	0.1
3600	-20041.65	-8828	0.1
3700	-18686.2	-8828	0.1
3800	-19723.75	-8828	0.1
3900	-16683.3	-8828	0.1
4000	-17355.7	-8828	0.1
4100	-19597.55	-8828	0.1
4200	-17790.3	-8828	0.1
4300	-20453.45	-8828	0.1
4400	-19279.15	-8828	0.1
4500	-18467.05	-8828	0.1
4600	-19109.8	-8828	0.1
4700	-23007.55	-8828	0.1
4800	-17560.35	-8828	0.1
4900	-22075.9	-8828	0.1
Total Time: 39.808685064315796
Best Route: 7 2 22 1 32 49 36 35 34 39 37 40 38 48 5 24 15 6 4 25 46 44 16 50 20 23 31 18 3 45 19 41 8 9 10 43 33 51 12 28 27 26 47 14 13 52 11 29 30 21 17 42 
Fitness=-8828

EA2
Population Size	Generations	Mutation Rate	Crossover Rate	Breading Population Size	Tournament Size	Elite Size
20	5000	0.1	0.95	5	2	1
Current Generation	Average Fitness	Best Fitness	Mutation Rate
0	-28464.9	-8980	0.1
100	-21837.7	-8980	0.1
200	-23023.8	-8980	0.1
300	-22632.85	-8942	0.1
400	-17938.15	-8942	0.1
500	-16398.75	-8927	0.1
600	-17310.4	-8927	0.1
700	-18607.7	-8927	0.1
800	-16218.65	-8927	0.1
900	-17467.25	-8927	0.1
1000	-20346.75	-8927	0.1
1100	-22294.5	-8876	0.1
1200	-20711.5	-8876	0.1
1300	-19033.5	-8876	0.1
1400	-20371.0	-8876	0.1
1500	-16362.95	-8876	0.1
1600	-17101.9	-8876	0.1
1700	-17148.7	-8876	0.1
1800	-17793.95	-8876	0.1
1900	-19301.15	-8876	0.1
2000	-21369.6	-8876	0.1
2100	-18765.3	-8876	0.1
2200	-23626.95	-8876	0.1
2300	-20322.1	-8876	0.1
2400	-16499.9	-8876	0.1
2500	-18735.2	-8876	0.1
2600	-23029.8	-8876	0.1
2700	-16149.55	-8876	0.1
2800	-19450.65	-8876	0.1
2900	-19249.9	-8876	0.1
3000	-23789.2	-8876	0.1
3100	-18076.15	-8876	0.1
3200	-20390.85	-8876	0.1
3300	-20440.65	-8876	0.1
3400	-20482.5	-8876	0.1
3500	-20485.95	-8876	0.1
3600	-15917.5	-8876	0.1
3700	-19303.0	-8876	0.1
3800	-19630.3	-8876	0.1
3900	-14614.0	-8876	0.1
4000	-15155.05	-8876	0.1
4100	-23752.55	-8876	0.1
4200	-16860.4	-8876	0.1
4300	-17900.95	-8876	0.1
4400	-17578.95	-8876	0.1
4500	-19736.6	-8876	0.1
4600	-18072.85	-8876	0.1
4700	-18008.5	-8876	0.1
4800	-16383.65	-8876	0.1
4900	-19020.7	-8876	0.1
Total Time: 39.88103723526001
Best Route: 4 25 46 44 16 50 20 23 31 18 3 19 45 41 8 9 10 43 33 51 12 28 27 26 47 13 14 52 11 29 30 21 17 42 7 2 1 22 32 49 36 35 34 39 40 37 38 48 24 15 5 6 
Fitness=-8876

EA2
Population Size	Generations	Mutation Rate	Crossover Rate	Breading Population Size	Tournament Size	Elite Size
20	5000	0.1	0.95	5	2	1
Current Generation	Average Fitness	Best Fitness	Mutation Rate
0	-28637.75	-8980	0.1
100	-17333.7	-8980	0.1
200	-17891.35	-8980	0.1
300	-17836.6	-8980	0.1
400	-20426.7	-8980	0.1
500	-21673.6	-8980	0.1
600	-14926.3	-8980	0.1
700	-18383.95	-8980	0.1
800	-17935.7	-8980	0.1
900	-18617.4	-8980	0.1
1000	-15872.7	-8980	0.1
1100	-20338.05	-8980	0.1
1200	-18318.45	-8980	0.1
1300	-19669.65	-8980	0.1
1400	-18833.15	-8980	0.1
1500	-18464.6	-8980	0.1
1600	-20338.5	-8980	0.1
1700	-20449.65	-8980	0.1
1800	-16417.25	-8980	0.1
1900	-15773.65	-8951	0.1
2000	-17216.65	-8951	0.1
2100	-20351.95	-8951	0.1
2200	-19049.75	-8951	0.1
2300	-21645.8	-8947	0.1
2400	-21948.2	-8947	0.1
2500	-19152.55	-8947	0.1
2600	-19992.3	-8947	0.1
2700	-18422.85	-8947	0.1
2800	-20209.75	-8947	0.1
2900	-19872.05	-8947	0.1
3000	-16941.1	-8947	0.1
3100	-18104.15	-8947	0.1
3200	-17605.65	-8947	0.1
3300	-21869.95	-8947	0.1
3400	-18692.45	-8947	0.1
3500	-20388.4	-8943	0.1
3600	-20631.75	-8943	0.1
3700	-19384.6	-8943	0.1
3800	-20050.0	-8943	0.1
3900	-16906.65	-8943	0.1
4000	-16068.8	-8943	0.1
4100	-17419.6	-8943	0.1
4200	-17857.4	-8943	0.1
4300	-16217.25	-8943	0.1
4400	-19180.2	-8943	0.1
4500	-19871.75	-8943	0.1
4600	-18155.35	-8943	0.1
4700	-15714.9	-8943	0.1
4800	-16059.25	-8943	0.1
4900	-16580.95	-8943	0.1
Total Time: 39.91927194595337
Best Route: 1 22 32 49 36 35 34 39 40 37 38 48 24 5 15 4 6 25 46 44 16 50 20 23 31 18 3 19 45 41 8 9 10 43 33 51 12 28 27 26 47 14 13 52 11 29 30 17 42 7 2 21 
Fitness=-8943

EA2
Population Size	Generations	Mutation Rate	Crossover Rate	Breading Population Size	Tournament Size	Elite Size
20	5000	0.1	0.95	5	2	1
Current Generation	Average Fitness	Best Fitness	Mutation Rate
0	-28854.25	-8980	0.1
100	-20325.65	-8980	0.1
200	-22411.15	-8980	0.1
300	-17632.65	-8954	0.1
400	-17207.7	-8954	0.1
500	-21391.75	-8954	0.1
600	-17537.45	-8893	0.1
700	-22535.15	-8893	0.1
800	-24982.85	-8893	0.1
900	-17587.95	-8893	0.1
1000	-17477.6	-8889	0.1
1100	-20856.6	-8889	0.1
1200	-25847.55	-8884	0.1
1300	-18336.7	-8872	0.1
1400	-25593.45	-8872	0.1
1500	-14265.3	-8872	0.1
1600	-17516.15	-8872	0.1
1700	-19896.25	-8872	0.1
1800	-18247.35	-8872	0.1
1900	-24685.8	-8872	0.1
2000	-22168.4	-8872	0.1
2100	-22038.1	-8872	0.1
2200	-17790.6	-8872	0.1
2300	-16747.7	-8872	0.1
2400	-18924.5	-8872	0.1
2500	-22415.05	-8872	0.1
2600	-21737.3	-8872	0.1
2700	-19461.25	-8872	0.1
2800	-20371.5	-8872	0.1
2900	-19675.5	-8872	0.1
3000	-22534.8	-8821	0.1
3100	-24052.3	-8821	0.1
3200	-20287.65	-8821	0.1
3300	-20333.9	-8821	0.1
3400	-19994.55	-8821	0.1
3500	-20361.35	-8821	0.1
3600	-20147.1	-8799	0.1
3700	-15963.35	-8799	0.1
3800	-15987.5	-8799	0.1
3900	-17849.55	-8799	0.1
4000	-16858.95	-8799	0.1
4100	-14548.55	-8799	0.1
4200	-19973.85	-8799	0.1
4300	-19782.8	-8799	0.1
4400	-18260.75	-8799	0.1
4500	-19189.75	-8799	0.1
4600	-17860.15	-8799	0.1
4700	-21450.95	-8799	0.1
4800	-22278.35	-8799	0.1
4900	-15429.65	-8799	0.1
Total Time: 39.83507990837097
Best Route: 51 12 28 27 26 47 14 13 52 11 29 30 21 17 42 2 7 1 22 32 49 36 35 34 39 40 37 38 48 24 5 15 6 4 25 46 44 16 50 20 23 31 18 3 45 19 41 8 9 10 43 33 
Fitness=-8799

EA2
Population Size	Generations	Mutation Rate	Crossover Rate	Breading Population Size	Tournament Size	Elite Size
20	5000	0.1	0.95	5	2	1
Current Generation	Average Fitness	Best Fitness	Mutation Rate
0	-28949.65	-8980	0.1
100	-23421.9	-8980	0.1
200	-16401.4	-8980	0.1
300	-17230.1	-8980	0.1
400	-17975.55	-8880	0.1
500	-20721.05	-8880	0.1
600	-17233.8	-8880	0.1
700	-18837.9	-8860	0.1
800	-25302.8	-8860	0.1
900	-19199.6	-8860	0.1
1000	-16818.5	-8856	0.1
1100	-20655.7	-8856	0.1
1200	-16825.5	-8856	0.1
1300	-22971.8	-8856	0.1
1400	-16266.2	-8856	0.1
1500	-19178.7	-8856	0.1
1600	-21959.2	-8856	0.1
1700	-20159.65	-8856	0.1
1800	-19649.2	-8856	0.1
1900	-18941.35	-8856	0.1
2000	-19987.0	-8835	0.1
2100	-15856.9	-8835	0.1
2200	-16954.6	-8835	0.1
2300	-22706.05	-8835	0.1
2400	-18892.4	-8835	0.1
2500	-18504.8	-8835	0.1
2600	-17671.5	-8835	0.1
2700	-19829.15	-8835	0.1
2800	-19474.05	-8835	0.1
2900	-19514.1	-8835	0.1
3000	-16978.35	-8835	0.1
3100	-15947.7	-8835	0.1
3200	-18741.45	-8835	0.1
3300	-22380.75	-8835	0.1
3400	-17661.4	-8835	0.1
3500	-19909.7	-8835	0.1
3600	-19462.35	-8835	0.1
3700	-19397.1	-8835	0.1
3800	-17983.3	-8742	0.1
3900	-20808.65	-8742	0.1
4000	-16878.95	-8742	0.1
4100	-17038.65	-8742	0.1
4200	-21070.25	-8741	0.1
4300	-18998.35	-8741	0.1
4400	-21402.25	-8741	0.1
4500	-21167.2	-8741	0.1
4600	-26444.2	-8741	0.1
4700	-15847.95	-8741	0.1
4800	-14881.7	-8702	0.1
4900	-17983.2	-8702	0.1
Total Time: 39.79847598075867
Best Route: 1 22 32 49 36 34 35 39 40 38 37 48 24 5 15 6 4 25 46 44 16 50 20 23 31 18 3 45 19 41 8 9 10 43 33 51 12 28 27 26 47 13 14 52 11 29 30 21 42 7 2 17 
Fitness=-8702

EA2
Population Size	Generations	Mutation Rate	Crossover Rate	Breading Population Size	Tournament Size	Elite Size
20	5000	0.1	0.95	5	2	1
Current Generation	Average Fitness	Best Fitness	Mutation Rate
0	-28982.95	-8980	0.1
100	-22504.85	-8980	0.1
200	-22306.3	-8980	0.1
300	-19424.45	-8880	0.1
400	-18557.05	-8880	0.1
500	-18481.6	-8880	0.1
600	-16317.3	-8880	0.1
700	-18930.45	-8880	0.1
800	-20030.95	-8880	0.1
900	-17840.75	-8880	0.1
1000	-21688.6	-8880	0.1
1100	-19436.85	-8880	0.1
1200	-22162.2	-8880	0.1
1300	-17899.75	-8880	0.1
1400	-16375.65	-8880	0.1
1500	-20995.0	-8880	0.1
1600	-19722.45	-8880	0.1
1700	-21551.9	-8880	0.1
1800	-17245.5	-8880	0.1
1900	-17889.15	-8768	0.1
2000	-17781.1	-8768	0.1
2100	-18136.1	-8768	0.1
2200	-21118.2	-8768	0.1
2300	-17197.8	-8768	0.1
2400	-19070.6	-8768	0.1
2500	-17177.45	-8768	0.1
2600	-15849.85	-8768	0.1
2700	-17432.95	-8763	0.1
2800	-16331.0	-8763	0.1
2900	-18016.95	-8763	0.1
3000	-14702.65	-8763	0.1
3100	-21163.85	-8763	0.1
3200	-19028.25	-8763	0.1
3300	-21919.1	-8763	0.1
3400	-20553.25	-8763	0.1
3500	-14098.55	-8763	0.1
3600	-18498.85	-8710	0.1
3700	-21936.1	-8631	0.1
3800	-19474.95	-8631	0.1
3900	-19982.3	-8631	0.1
4000	-17007.95	-8631	0.1
4100	-22409.05	-8631	0.1
4200	-19405.9	-8631	0.1
4300	-18974.3	-8631	0.1
4400	-20579.2	-8631	0.1
4500	-24911.45	-8631	0.1
4600	-25821.3	-8631	0.1
4700	-16556.95	-8631	0.1
4800	-23588.95	-8631	0.1
4900	-18955.2	-8631	0.1
Total Time: 39.80162596702576
Best Route: 2 17 22 1 32 49 36 35 34 39 40 37 38 48 24 5 15 6 4 25 46 44 16 50 20 23 31 18 3 45 19 41 8 9 10 43 33 51 12 28 27 26 47 13 14 52 11 29 30 21 42 7 
Fitness=-8631

EA2
Population Size	Generations	Mutation Rate	Crossover Rate	Breading Population Size	Tournament Size	Elite Size
20	5000	0.1	0.95	5	2	1
Current Generation	Average Fitness	Best Fitness	Mutation Rate
0	-29018.25	-8980	0.1
100	-16542.05	-8980	0.1
200	-21011.7	-8980	0.1
300	-19530.1	-8941	0.1
400	-19812.75	-8941	0.1
500	-21870.1	-8941	0.1
600	-18245.8	-8941	0.1
700	-16305.65	-8941	0.1
800	-17825.35	-8941	0.1
900	-15607.95	-8941	0.1
1000	-18214.7	-8941	0.1
1100	-20582.25	-8941	0.1
1200	-17424.6	-8941	0.1
1300	-21221.95	-8941	0.1
1400	-16713.85	-8920	0.1
1500	-23654.25	-8920	0.1
1600	-17129.1	-8920	0.1
1700	-18432.2	-8920	0.1
1800	-16909.3	-8920	0.1
1900	-24441.05	-8920	0.1
2000	-21249.4	-8920	0.1
2100	-17831.2	-8920	0.1
2200	-15751.8	-8920	0.1
2300	-21543.25	-8916	0.1
2400	-16978.7	-8916	0.1
2500	-17968.2	-8916	0.1
2600	-15312.65	-8916	0.1
2700	-19289.25	-8916	0.1
2800	-16960.75	-8916	0.1
2900	-20198.6	-8916	0.1
3000	-17002.4	-8916	0.1
3100	-17550.25	-8855	0.1
3200	-22582.3	-8855	0.1
3300	-17624.4	-8855	0.1
3400	-18849.0	-8855	0.1
3500	-20440.05	-8855	0.1
3600	-19455.55	-8855	0.1
3700	-23386.1	-8855	0.1
3800	-23581.95	-8854	0.1
3900	-24582.65	-8854	0.1
4000	-25464.55	-8854	0.1
4100	-19630.5	-8854	0.1
4200	-22816.8	-8854	0.1
4300	-23944.05	-8854	0.1
4400	-19773.5	-8854	0.1
4500	-16905.75	-8854	0.1
4600	-17522.0	-8854	0.1
4700	-22845.3	-8854	0.1
4800	-20728.65	-8854	0.1
4900	-18583.5	-8854	0.1
Total Time: 39.77497315406799
Best Route: 7 2 1 22 49 32 36 35 34 39 40 37 38 48 24 15 5 6 4 25 46 44 16 50 20 23 31 18 3 45 19 41 8 9 10 43 33 51 12 28 27 26 47 13 14 52 11 29 30 21 17 42 
Fitness=-8854

EA2
Population Size	Generations	Mutation Rate	Crossover Rate	Breading Population Size	Tournament Size	Elite Size
20	5000	0.1	0.95	5	2	1
Current Generation	Average Fitness	Best Fitness	Mutation Rate
0	-29287.05	-8980	0.1
100	-18283.25	-8954	0.1
200	-22090.05	-8954	0.1
300	-21920.9	-8954	0.1
400	-17436.65	-8954	0.1
500	-20129.9	-8954	0.1
600	-20035.35	-8954	0.1
700	-16980.05	-8954	0.1
800	-20744.05	-8954	0.1
900	-18072.1	-8954	0.1
1000	-21430.5	-8954	0.1
1100	-18773.9	-8954	0.1
1200	-17143.2	-8954	0.1
1300	-18863.1	-8954	0.1
1400	-17863.9	-8954	0.1
1500	-20229.65	-8954	0.1
1600	-20020.3	-8954	0.1
1700	-19535.65	-8954	0.1
1800	-14197.25	-8954	0.1
1900	-21138.95	-8954	0.1
2000	-18958.45	-8954	0.1
2100	-19583.25	-8954	0.1
2200	-16532.5	-8954	0.1
2300	-19803.4	-8954	0.1
2400	-19825.05	-8954	0.1
2500	-17169.25	-8954	0.1
2600	-21557.6	-8954	0.1
2700	-19033.2	-8954	0.1
2800	-21853.75	-8954	0.1
2900	-22764.25	-8954	0.1
3000	-18604.75	-8954	0.1
3100	-18981.25	-8954	0.1
3200	-19735.95	-8954	0.1
3300	-21036.3	-8954	0.1
3400	-16494.6	-8954	0.1
3500	-15223.1	-8954	0.1
3600	-18050.95	-8954	0.1
3700	-18025.6	-8954	0.1
3800	-19781.1	-8954	0.1
3900	-16110.25	-8954	0.1
4000	-20635.85	-8954	0.1
4100	-16451.8	-8954	0.1
4200	-19651.6	-8954	0.1
4300	-17839.7	-8954	0.1
4400	-21758.6	-8954	0.1
4500	-15774.0	-8954	0.1
4600	-16492.0	-8954	0.1
4700	-17732.55	-8954	0.1
4800	-17216.8	-8954	0.1
4900	-16549.45	-8954	0.1
Total Time: 40.02871823310852
Best Route: 1 22 32 49 36 34 35 39 40 38 37 48 24 5 15 6 4 25 46 44 16 50 20 23 31 18 3 19 45 41 8 10 9 43 33 51 12 28 27 26 47 13 14 52 11 29 30 21 17 42 7 2 
Fitness=-8954

EA2
Population Size	Generations	Mutation Rate	Crossover Rate	Breading Population Size	Tournament Size	Elite Size
20	5000	0.1	0.95	5	2	1
Current Generation	Average Fitness	Best Fitness	Mutation Rate
0	-27751.4	-8980	0.1
100	-18458.65	-8881	0.1
200	-21301.95	-8881	0.1
300	-20678.1	-8881	0.1
400	-24733.1	-8881	0.1
500	-23419.65	-8881	0.1
600	-21519.1	-8881	0.1
700	-18450.0	-8881	0.1
800	-20618.95	-8881	0.1
900	-20498.65	-8881	0.1
1000	-17142.35	-8881	0.1
1100	-19561.95	-8881	0.1
1200	-21960.9	-8881	0.1
1300	-22138.6	-8881	0.1
1400	-19878.6	-8841	0.1
1500	-20399.6	-8841	0.1
1600	-20832.95	-8841	0.1
1700	-17951.5	-8841	0.1
1800	-21895.05	-8841	0.1
1900	-19022.2	-8841	0.1
2000	-18031.4	-8841	0.1
2100	-20041.35	-8841	0.1
2200	-19823.95	-8841	0.1
2300	-19254.0	-8814	0.1
2400	-21133.35	-8814	0.1
2500	-19062.8	-8814	0.1
2600	-23737.3	-8814	0.1
2700	-17930.4	-8814	0.1
2800	-16997.05	-8814	0.1
2900	-19735.5	-8814	0.1
3000	-22518.75	-8814	0.1
3100	-15509.95	-8814	0.1
3200	-15721.3	-8814	0.1
3300	-24408.0	-8814	0.1
3400	-16581.55	-8814	0.1
3500	-16164.45	-8772	0.1
3600	-19746.9	-8576	0.1
3700	-17261.1	-8576	0.1
3800	-15612.25	-8576	0.1
3900	-20024.1	-8576	0.1
4000	-20407.1	-8576	0.1
4100	-17070.8	-8576	0.1
4200	-17386.3	-8576	0.1
4300	-17608.25	-8576	0.1
4400	-18565.7	-8576	0.1
