algorithm	fitness(basic)	fitness(custom)	num_violations	length_extensions	extension_pattern
run_sa	0.7272727272727273	-1.2	0.0	1.2	100100000001010000000000001000000000000000001000000000000000
run_sa	0.7083333333333334	-1.4	0.0	1.4	000101010000010000000100000000000000000000000001000001000000
run_sa_custom	0.7083333333333334	-1.4	0.0	1.4	010100000000110000000100000000000000000000000110000000000000
run_sa_custom	0.7272727272727273	-1.2	0.0	1.2	101000000100010000000000001000000000000000001000000000000000
run_sa_custom	0.7272727272727273	-1.2	0.0	1.2	100001010000010000000000001000000000000000001000000000000000
run_sa_custom	0.7083333333333334	-1.4	0.0	1.4	001010000001010000000000100000000000000000100000100000000000
run_sa_custom	0.6923076923076923	-1.5999999999999999	0.0	1.5999999999999999	010100100000010000000000100000100000000001000001000000000000
run_sa_custom	0.6923076923076923	-1.5999999999999999	0.0	1.5999999999999999	100100001000010000000000000010000000000110000001000000000000
run_sa_custom	0.6923076923076923	-1.5999999999999999	0.0	1.5999999999999999	001010000000110000000001000010000010000000001000000000000000
run_sa_custom	0.7083333333333334	-1.4	0.0	1.4	010001100000001000000000100000000000000000010000100000000000
run_sa_custom	0.6923076923076923	-1.5999999999999999	0.0	1.5999999999999999	001011010000001000000010000000000000100000000001000000000000
run_sa_custom	0.7272727272727273	-1.2	0.0	1.2	100001010000001000000100000000000000000000001000000000000000
run_metropolis	0.7083333333333334	-1.4	0.0	1.4	000101000000110000000000100000000000000000000001100000000000
run_metropolis	0.7083333333333334	-1.4	0.0	1.4	011000000001010000000100000000000000001000000010000000000000
run_metropolis	0.7272727272727273	-1.2	0.0	1.2	100001000000101000000100000000000000000000000001000000000000
run_metropolis	0.7083333333333334	-1.4	0.0	1.4	010010001000010000000010000000000000000000010000010000000000
run_metropolis	0.7083333333333334	-1.4	0.0	1.4	000101001000010000000100000000000000001000000010000000000000
run_metropolis	0.7083333333333334	-1.4	0.0	1.4	011001010000001000000100000000000000000000001000000000000000
run_metropolis	0.7272727272727273	-1.2	0.0	1.2	010001001000010000000100000000000000000000001000000000000000
run_metropolis	0.7272727272727273	-1.2	0.0	1.2	110000001000001000000000001000000000000000000001000000000000
run_metropolis	0.7083333333333334	-1.4	0.0	1.4	100100000001010000000000000001000000000000000001100000000000
run_metropolis	0.6923076923076923	-1.5999999999999999	0.0	1.5999999999999999	010110000000101000000010000000000010000000001000000000000000
run_metropolis_custom	0.7272727272727273	-1.2	0.0	1.2	100001000000101000000100000000000000000000001000000000000000
run_metropolis_custom	0.7083333333333334	-1.4	0.0	1.4	100001001000010000000011000000000000000000000001000000000000
run_metropolis_custom	0.7083333333333334	-1.4	0.0	1.4	010010000000110000000000000010000000010000000000010000000000
run_metropolis_custom	0.7083333333333334	-1.4	0.0	1.4	100010000100010000000011000000000000000000001000000000000000
run_metropolis_custom	0.7083333333333334	-1.4	0.0	1.4	010001000100001000000100000000000000000000010010000000000000
run_metropolis_custom	0.7272727272727273	-1.2	0.0	1.2	100100100000010000000000001000000000000000001000000000000000
run_metropolis_custom	0.7272727272727273	-1.2	0.0	1.2	110000001000001000000000001000000000000000000001000000000000
run_metropolis_custom	0.7272727272727273	-1.2	0.0	1.2	010001000000101000000100000000000000000000001000000000000000
run_metropolis_custom	0.7083333333333334	-1.4	0.0	1.4	010001100000010000000100000000000000000000010000100000000000
run_metropolis_custom	0.7083333333333334	-1.4	0.0	1.4	001010100000010000000000000000000000100000000001010000000000
