n	runtime	logruntime
4	3.0040740966796875e-05	-10.412956065367318
5	0.00012493133544921875	-8.987746287997755
6	0.008953094482421875	-4.715756054227992
7	0.006412029266357422	-5.049579479934981
8	0.05563688278198242	-2.888908938263012
9	0.5524039268493652	-0.5934757487659574
10	5.898209095001221	1.7746487616129736
11	79.03554511070251	4.369897689385381
